Cycle no.,95A 1st,Wk1 - 50%,Wk2 - 50%,Wk3 - 50%,Wk4 - 50%,Wk1 - 35%,Wk2 - 35%,Wk3 - 35%,Wk4 - 35%,Wk1 - 20%,Wk2 - 20%,Wk3 - 20%,Wk4 - 20%,,95A 2nd,Wk1 - 50%,Wk2 - 50%,Wk3 - 50%,Wk4 - 50%,Wk1 - 35%,Wk2 - 35%,Wk3 - 35%,Wk4 - 35%,Wk1 - 20%,Wk2 - 20%,Wk3 - 20%,Wk4 - 20%,,90A 1st,Wk1 - 50%,Wk2 - 50%,Wk3 - 50%,Wk4 - 50%,Wk1 - 35%,Wk2 - 35%,Wk3 - 35%,Wk4 - 35%,Wk1 - 20%,Wk2 - 20%,Wk3 - 20%,Wk4 - 20%,,90A 2nd,Wk1 - 50%,Wk2 - 50%,Wk3 - 50%,Wk4 - 50%,Wk1 - 35%,Wk2 - 35%,Wk3 - 35%,Wk4 - 35%,Wk1 - 20%,Wk2 - 20%,Wk3 - 20%,Wk4 - 20%,,87A 1st,Wk1 - 50%,Wk2 - 50%,Wk3 - 50%,Wk4 - 50%,Wk1 - 35%,Wk2 - 35%,Wk3 - 35%,Wk4 - 35%,Wk1 - 20%,Wk2 - 20%,Wk3 - 20%,Wk4 - 20%,,87A 2nd,Wk1 - 50%,Wk2 - 50%,Wk3 - 50%,Wk4 - 50%,Wk1 - 35%,Wk2 - 35%,Wk3 - 35%,Wk4 - 35%,Wk1 - 20%,Wk2 - 20%,Wk3 - 20%,Wk4 - 20%
0,,26.47283465,23.4476378,27.27165354,,20.17559055,21.37834646,24.01023622,22.94724409,21.48661417,21.48188976,23.42874016,23.01417323,,,27.09212598,27.5976378,24.63622047,,22.10944882,24.80551181,24.07874016,20.7992126,24.19291339,23.81141732,23.32440945,21.87007874,,,23.4023622,22.48503937,21.36614173,24.82283465,22.31732283,22.27992126,21.66062992,23.08267717,22.13779528,22.26889764,21.01811024,22.98149606,,,22.36377953,24.02637795,22.3003937,23.93110236,22.67165354,21.91417323,23.21653543,24.13385827,22.43937008,21.36614173,22.33385827,23.70629921,,,22.26299213,21.33858268,21.22834646,21.96417323,22.13779528,20.2976378,22.51889764,23.27559055,22.27992126,20.78976378,22.36771654,23.53031496,,,24.05787402,23.38031496,24.2011811,24.22480315,23.28267717,22.17007874,23.01771654,23.01259843,22.1496063,21.61456693,23.28188976,23.06535433
50,,26.65433071,24.92677165,28.46456693,,21.53188976,22.04173228,25.32283465,23.7484252,,21.68346457,24.16338583,23.26377953,,,26.44645669,26.78110236,25.14173228,,23.97086614,26.80826772,,23.33149606,24.45866142,24.16771654,23.71417323,24.33543307,,,23.17952756,,21.87716535,,,22.15551181,,,22.17322835,22.14291339,20.64566929,23.62086614,,,,23.80944882,21.37165354,,22.63307087,21.94566929,,,,21.62204724,22.42598425,23.49212598,,,,21.58503937,,22.58700787,22.44370079,,22.62834646,23.48503937,22.69448819,20.8007874,,,,,24.34606299,23.04409449,24.34015748,24.26614173,23.27992126,,23.41417323,23.18188976,22.48818898,,23.48661417,
100,,26.54094488,25.15826772,29.13622047,,22.12637795,21.3503937,26.76614173,25.22677165,,22.56141732,24.85,23.88425197,,,27.33818898,27.50944882,26.71889764,,24.43818898,28.04330709,,23.7976378,24.97401575,25.23070866,24.67913386,23.14448819,,,23.6503937,,22.02322835,,22.31338583,22.15669291,21.61692913,23.87244094,22.15984252,22.44606299,20.39606299,23.83779528,,,22.89606299,24.17401575,24.10511811,24.13897638,22.87362205,22.18937008,23.56614173,23.96574803,,21.37401575,23.31299213,24.04173228,,,22.25433071,21.01338583,20.8015748,23.85669291,22.26299213,21.22795276,23.12125984,23.99291339,22.53188976,20.98818898,22.81023622,23.08346457,,,23.66771654,22.6011811,23.93858268,24.46456693,23.71653543,22.12677165,23.38031496,23.51968504,23.34409449,,23.2519685,
150,,26.31259843,26.41771654,29.41889764,,23.23070866,22.17637795,26.65826772,25.58464567,,22.78228346,24.3,24.83818898,,,27.7992126,28.19291339,26.9015748,,25.17834646,28.78346457,24.55511811,21.58700787,25.2492126,24.74173228,23.90354331,22.27952756,,,23.9976378,22.59291339,23.23937008,26.03700787,22.65511811,22.71653543,21.03858268,23.90708661,22.0976378,22.32519685,20.15551181,24.53897638,,,22.91259843,24.07165354,24.94724409,24.57952756,23.12874016,22.65354331,24.09527559,24.11889764,22.92952756,22.05748031,23.72480315,22.71181102,,,22.93307087,21.68976378,20.19685039,23.13779528,22.6480315,21.33937008,23.1488189,23.49133858,22.42913386,20.5980315,22.97795276,23.23464567,,,23.47165354,23.38740157,23.91417323,24.67440945,23.72519685,22.12125984,23.74645669,23.38228346,23.11811024,22.32204724,23.64330709,23.27165354
200,,30.8,26.74251969,30.22755906,,23.6992126,22.91377953,27.70944882,26.09212598,,22.65826772,24.69015748,24.83858268,,,28.08503937,29.32125984,27.00354331,,25.31220472,28.90787402,25.11811024,24.05905512,26.08897638,26.00866142,25.30669291,20.80472441,,,24.66811024,23.3976378,23.4484252,25.23503937,22.64055118,23.5976378,21.8996063,24.76377953,22.62519685,22.33464567,20.68818898,25.20472441,,,23.63622047,25.15472441,25.52125984,24.23937008,23.49645669,22.94448819,24.40708661,24.17834646,22.41614173,22.29251969,23.63464567,23.82244094,,,22.74055118,22.05905512,20.41653543,23.36456693,22.33779528,20.55275591,23.30393701,22.27322835,22.8019685,21.14173228,23.06614173,22.78937008,,,24.56614173,23.36614173,24.97755906,25.22637795,24.15984252,22.30787402,23.91062992,23.48661417,22.81220472,21.98582677,23.80629921,23.18740157
250,,31.67559055,28.28543307,30.55314961,,25.82362205,23.58110236,27.59291339,26.22283465,21.82401575,22.77795276,24.68346457,24.81496063,,,29.85748031,29.05590551,26.32322835,,25.08976378,28.68346457,26.56141732,23.61968504,26.00314961,26.65,23.94291339,24.6519685,,,24.90708661,23.77401575,23.20511811,27.66338583,22.93464567,23.4480315,22.76614173,26.7007874,23.44724409,22.47834646,21.47637795,24.87125984,,,23.20787402,25.47165354,25.19133858,26.48976378,24.17322835,23.05905512,24.42677165,24.30748031,22.34094488,22.63070866,24.36259843,23.87637795,,,23.53110236,21.90866142,21.18346457,23.34685039,22.39055118,21.15984252,23.76181102,24.04724409,22.94724409,21.15590551,23.13228346,22.72047244,,,24.33700787,24.14173228,25.29527559,25.20944882,23.76377953,22.48897638,23.5480315,23.9496063,23.30708661,22.33582677,23.29212598,23.30826772
300,,30.29133858,28.32440945,30.86732283,,26.70314961,23.68070866,28.13503937,28.78582677,22.54645669,23.09291339,24.74251969,25.84212598,,,30.23818898,30.19488189,27.74724409,,26.83464567,29.15669291,26.38464567,24.1519685,26.70669291,26.84330709,23.92834646,24.03858268,,,25.23307087,24.27677165,24.21102362,27.4007874,23.0003937,23.63622047,22.85433071,26.13464567,23.20787402,22.77952756,21.02519685,25.50787402,,,24.53228346,25.74094488,25.04330709,26.56338583,24.22637795,23.92007874,25.41496063,24.2519685,22.64094488,22.68425197,23.97401575,23.84488189,,,23.29645669,22.66023622,21.17992126,23.84448819,23.22125984,20.59685039,23.46574803,23.2488189,22.77795276,21.59488189,23.06141732,22.58897638,,,24.06889764,23.58897638,23.66062992,24.66850394,23.87519685,22.17283465,23.61811024,24.03503937,23.01338583,22.35511811,22.98346457,23.44409449
350,,31.18976378,28.70905512,30.23976378,,26.61771654,24.2984252,28.45511811,28.78267717,22.41535433,23.48110236,25.93385827,25.63740157,,,31.78267717,28.69055118,28.32125984,,25.80551181,29.44330709,26.46653543,23.64448819,25.97637795,26.53385827,25.4984252,24.73503937,,,25.38740157,23.42677165,24.14055118,28.35275591,23.5496063,24.28582677,22.79133858,26.39606299,23.32204724,22.2992126,21.22559055,25.04094488,,,25.00905512,25.92047244,26.06102362,26.27795276,24.02755906,24.33818898,24.97362205,25.16889764,22.61141732,22.79448819,24.45748031,23.91968504,,,23.28267717,22.58267717,21.30393701,24.01259843,23.35984252,20.70866142,23.66850394,22.60866142,22.50314961,21.54094488,23.52519685,21.94409449,,,24.1980315,23.67755906,24.25905512,24.63937008,23.72913386,22.60275591,24.07559055,24.12125984,22.64409449,22.43503937,23.30866142,23.0488189
400,,34.55354331,27.11417323,31.66299213,,27.27559055,24.31456693,28.80905512,27.7976378,22.71771654,24.11338583,25.3980315,26.48070866,,,30.13858268,29.79527559,27.67559055,,26.27559055,28.12677165,26.13582677,24.42440945,25.54291339,26.36692913,25.94055118,24.77480315,,,26.90629921,23.60275591,24.12519685,28.71692913,23.61417323,23.96456693,23.25511811,26.1519685,23.73070866,22.44409449,21.20944882,25.0984252,,,24.89370079,25.80905512,26.4015748,26.61732283,23.87677165,23.10393701,25.05,24.92283465,22.89094488,22.44133858,24.32440945,24.23818898,,,23.39055118,22.47834646,22.58740157,24.66299213,23.28661417,20.62086614,24.11771654,23.78110236,22.57440945,20.80314961,23.33228346,21.65433071,,,24.61614173,23.72913386,24.11102362,24.59448819,23.95511811,22.56417323,23.73543307,24.21929134,22.91062992,22.27086614,23.47480315,23.47874016
450,,28.13110236,28.53149606,30.56732283,,27.43149606,23.68740157,28.62519685,27.08897638,23,22.89409449,26.55551181,25.43385827,,,32.26141732,30.83149606,28.20393701,,27.98897638,28.13425197,25.58858268,24.4984252,26.86535433,26.42952756,26.99370079,24.68188976,,,25.52204724,24.02283465,23.71968504,28.63425197,23.55511811,24.22047244,23.00629921,26.66850394,23.75826772,22.77874016,21.39606299,25.22834646,,,24.02598425,26.48740157,26.67992126,26.45590551,23.88425197,24.54330709,26.06771654,24.55748031,22.91259843,22.88031496,24.46456693,23.58582677,,,23.10354331,22.20866142,22.39330709,25.11496063,23.38031496,20.5511811,24.16456693,23.94724409,22.54566929,20.72598425,23.62519685,23.61259843,,,24.8984252,23.74566929,24.23582677,25.07992126,23.88031496,22.72519685,23.74645669,24.18779528,22.61220472,21.98307087,23.28110236,23.40472441
