Cycle no.,95A 1st,Wk1 - 50%,Wk2 - 50%,Wk3 - 50%,Wk1 - 35%,Wk2 - 35%,Wk3 - 35%,Wk4 - 35%,Wk1 - 20%,Wk2 - 20%,Wk3 - 20%,Wk4 - 20%,Unnamed: 13,95A 2nd,Wk1 - 50%.1,Wk2 - 50%.1,Wk3 - 50%.1,Wk4 - 50%,Wk1 - 35%.1,Wk2 - 35%.1,Wk3 - 35%.1,Wk4 - 35%.1,Wk1 - 20%.1,Wk2 - 20%.1,Wk3 - 20%.1,Wk4 - 20%.1,Unnamed: 27,90A 1st,Wk1 - 50%.2,Wk2 - 50%.2,Wk3 - 50%.2,Wk4 - 50%.1,Wk1 - 35%.2,Wk2 - 35%.2,Wk3 - 35%.2,Wk4 - 35%.2,Wk1 - 20%.2,Wk2 - 20%.2,Wk3 - 20%.2,Wk4 - 20%.2,Unnamed: 41,90A 2nd,Wk1 - 50%.3,Wk2 - 50%.3,Wk3 - 50%.3,Wk4 - 50%.2,Wk1 - 35%.3,Wk2 - 35%.3,Wk3 - 35%.3,Wk4 - 35%.3,Wk1 - 20%.3,Wk2 - 20%.3,Wk3 - 20%.3,Wk4 - 20%.3,Unnamed: 55,87A 1st,Wk1 - 50%.4,Wk2 - 50%.4,Wk3 - 50%.4,Wk4 - 50%.3,Wk1 - 35%.4,Wk2 - 35%.4,Wk3 - 35%.4,Wk4 - 35%.4,Wk1 - 20%.4,Wk2 - 20%.4,Wk3 - 20%.4,Wk4 - 20%.4,Unnamed: 69,87A 2nd,Wk1 - 50%.5,Wk2 - 50%.5,Wk3 - 50%.5,Wk4 - 50%.4,Wk1 - 35%.5,Wk2 - 35%.5,Wk3 - 35%.5,Wk4 - 35%.5,Wk1 - 20%.5,Wk2 - 20%.5,Wk3 - 20%.5,Wk4 - 20%.5
0,,,,,20.17559055,21.37834646,24.01023622,22.94724409,,21.48188976,23.42874016,23.01417323,,,27.09212598,,,,22.10944882,24.80551181,,,24.19291339,23.81141732,,,,,23.4023622,,21.36614173,,,22.27992126,,,22.13779528,22.26889764,21.01811024,,,,,24.02637795,,,22.67165354,21.91417323,,,,21.36614173,,,,,,21.33858268,,,22.13779528,,,,22.27992126,,20.78976378,,,,24.05787402,23.38031496,24.2011811,,23.28267717,,23.01771654,,22.1496063,,23.28188976,
50,,,,,21.53188976,22.04173228,25.32283465,23.7484252,,21.68346457,24.16338583,23.26377953,,,26.44645669,,,,23.97086614,26.80826772,,,24.45866142,24.16771654,,,,,23.17952756,,21.87716535,,22.31732283,22.15551181,21.66062992,,22.17322835,22.14291339,20.64566929,,,,22.36377953,23.80944882,,,22.63307087,21.94566929,,,,21.62204724,,,,,22.26299213,21.58503937,21.22834646,,22.44370079,,20.2976378,,22.69448819,,20.8007874,,,,24.34606299,23.04409449,24.34015748,,23.27992126,22.17007874,23.41417323,,22.48818898,,23.48661417,
100,,,,,22.12637795,21.3503937,26.76614173,25.22677165,,22.56141732,24.85,23.88425197,,,27.33818898,,,,24.43818898,28.04330709,,,24.97401575,25.23070866,,,,,23.6503937,22.48503937,22.02322835,,22.31338583,22.15669291,21.61692913,,22.15984252,22.44606299,20.39606299,,,,22.89606299,24.17401575,,,22.87362205,22.18937008,,,22.43937008,21.37401575,,,,,22.25433071,21.01338583,20.8015748,,22.26299213,,21.22795276,,22.53188976,,20.98818898,,,,23.66771654,22.6011811,23.93858268,,23.71653543,22.12677165,23.38031496,,23.34409449,21.61456693,23.2519685,
150,,,,,23.23070866,22.17637795,26.65826772,25.58464567,,22.78228346,24.3,24.83818898,,,27.7992126,,,,25.17834646,28.78346457,,,25.2492126,24.74173228,,,,,23.9976378,22.59291339,23.23937008,,22.65511811,22.71653543,21.03858268,,22.0976378,22.32519685,20.15551181,,,,22.91259843,24.07165354,,,23.12874016,22.65354331,,,22.92952756,22.05748031,,,,,22.93307087,21.68976378,20.19685039,,22.6480315,,21.33937008,,22.42913386,,20.5980315,,,,23.47165354,23.38740157,23.91417323,,23.72519685,22.12125984,23.74645669,,23.11811024,22.32204724,23.64330709,
200,,,,,23.6992126,22.91377953,27.70944882,26.09212598,21.48661417,22.65826772,24.69015748,24.83858268,,,28.08503937,,,,25.31220472,28.90787402,,,26.08897638,26.00866142,,,,,24.66811024,23.3976378,23.4484252,,22.64055118,23.5976378,21.8996063,,22.62519685,22.33464567,20.68818898,,,,23.63622047,25.15472441,,,23.49645669,22.94448819,,,22.41614173,22.29251969,,,,,22.74055118,22.05905512,20.41653543,,22.33779528,,20.55275591,,22.8019685,,21.14173228,,,,24.56614173,23.36614173,24.97755906,,24.15984252,22.30787402,23.91062992,,22.81220472,21.98582677,23.80629921,
250,,,,,25.82362205,23.58110236,27.59291339,26.22283465,21.82401575,22.77795276,24.68346457,24.81496063,,,29.85748031,,,,25.08976378,28.68346457,,,26.00314961,26.65,,,,,24.90708661,23.77401575,23.20511811,,22.93464567,23.4480315,22.76614173,,23.44724409,22.47834646,21.47637795,,,,23.20787402,25.47165354,,,24.17322835,23.05905512,,,22.34094488,22.63070866,,,,,23.53110236,21.90866142,21.18346457,,22.39055118,,21.15984252,,22.94724409,,21.15590551,,,,24.33700787,24.14173228,25.29527559,,23.76377953,22.48897638,23.5480315,,23.30708661,22.33582677,23.29212598,
300,,,,,26.70314961,23.68070866,28.13503937,28.78582677,22.54645669,23.09291339,24.74251969,25.84212598,,,30.23818898,,,,26.83464567,29.15669291,,,26.70669291,26.84330709,,,,,25.23307087,24.27677165,24.21102362,,23.0003937,23.63622047,22.85433071,,23.20787402,22.77952756,21.02519685,,,,24.53228346,25.74094488,,,24.22637795,23.92007874,,,22.64094488,22.68425197,,,,,23.29645669,22.66023622,21.17992126,,23.22125984,,20.59685039,,22.77795276,,21.59488189,,,,24.06889764,23.58897638,23.66062992,,23.87519685,22.17283465,23.61811024,,23.01338583,22.35511811,22.98346457,
350,,,,,26.61771654,24.2984252,28.45511811,28.78267717,22.41535433,23.48110236,25.93385827,25.63740157,,,31.78267717,,,,25.80551181,29.44330709,,,25.97637795,26.53385827,,,,,25.38740157,23.42677165,24.14055118,,23.5496063,24.28582677,22.79133858,,23.32204724,22.2992126,21.22559055,,,,25.00905512,25.92047244,,,24.02755906,24.33818898,,,22.61141732,22.79448819,,,,,23.28267717,22.58267717,21.30393701,,23.35984252,,20.70866142,,22.50314961,,21.54094488,,,,24.1980315,23.67755906,24.25905512,,23.72913386,22.60275591,24.07559055,,22.64409449,22.43503937,23.30866142,
400,,,,,27.27559055,24.31456693,28.80905512,27.7976378,22.71771654,24.11338583,25.3980315,26.48070866,,,30.13858268,,,,26.27559055,28.12677165,,,25.54291339,26.36692913,,,,,26.90629921,23.60275591,24.12519685,,23.61417323,23.96456693,23.25511811,,23.73070866,22.44409449,21.20944882,,,,24.89370079,25.80905512,,,23.87677165,23.10393701,,,22.89094488,22.44133858,,,,,23.39055118,22.47834646,22.58740157,,23.28661417,,20.62086614,,22.57440945,,20.80314961,,,,24.61614173,23.72913386,24.11102362,,23.95511811,22.56417323,23.73543307,,22.91062992,22.27086614,23.47480315,
450,,,,,27.43149606,23.68740157,28.62519685,27.08897638,23.0,22.89409449,26.55551181,25.43385827,,,32.26141732,,,,27.98897638,28.13425197,,,26.86535433,26.42952756,,,,,25.52204724,24.02283465,23.71968504,,23.55511811,24.22047244,23.00629921,,23.75826772,22.77874016,21.39606299,,,,24.02598425,26.48740157,,,23.88425197,24.54330709,,,22.91259843,22.88031496,,,,,23.10354331,22.20866142,22.39330709,,23.38031496,,20.5511811,,22.54566929,,20.72598425,,,,24.8984252,23.74566929,24.23582677,,23.88031496,22.72519685,23.74645669,,22.61220472,21.98307087,23.28110236,
